Name,PLR
Allende II,09041402
Altstadt Kietz,09041501
Müggelheim,09041601
Hirschgarten,09051701
Bölschestraße,09051702
Rahnsdorf/Hessenwinkel,09051801
Dammvorstadt,09051901
Köpenick Nord,09052001
Marzahn West,10010101
Havemannstraße,10010102
Gewerbegebiet Bitterfelder Straße,10010203
Wuhletalstraße,10010204
Marzahn Ost,10010205
Ringkolonnaden,10010206
Marzahner Promenade,10010207
Marzahner Chaussee,10010308
Springpfuhl,10010309
Alt-Marzahn,10010310
Landsberger Tor,10010311
Alte Hellersdorfer Straße,10020412
Gut Hellersdorf,10020413
Helle Mitte,10020414
Hellersdorfer Promenade,10020415
Böhlener Straße,10020416
Adele-Sandrock-Straße,10020517
Schleipfuhl,10020518
Boulevard Kastanienallee,10020519
Kaulsdorf Nord II,10020620
Gelbes Viertel,10020621
Kaulsdorf Nord I,10020622
Rotes Viertel,10020623
Oberfeldstraße,10030724
Buckower Ring,10030725
Alt-Biesdorf,10030726
Biesdorf Süd,10030727
Kaulsdorf Nord,10040828
Alt-Kaulsdorf,10040829
Kaulsdorf Süd,10040830
Mahlsdorf Nord,10040931
Alt-Mahlsdorf,10040932
Mahlsdorf Süd,10040933
Dorf Malchow,11010101
Dorf Wartenberg,11010102
Dorf Falkenberg,11010103
Falkenberg Ost,11010204
Falkenberg West,11010205
Wartenberg Süd,11010206
Wartenberg Nord,11010207
Zingster Straße Ost,11010308
Zingster Straße West,11010309
Mühlengrund,11010310
Malchower Weg,11020411
Hauptstraße,11020412
Orankesee,11020513
Große-Leege-Straße,11020514
Landsberger Allee,11020515
Weiße Taube,11020516
Hohenschönhausener Straße,11030617
Fennpfuhl West,11030618
Fennpfuhl Ost,11030619
Herzbergstraße,11030720
Rüdigerstraße,11030721
Frankfurter Allee Süd,11030824
Victoriastadt,11040925
Weitlingstraße,11040926
Rosenfelder Ring,11041022
Gensinger Straße,11041023
Tierpark,11041027
Sewanstraße,11041128
Rummelsburg,11051229
Karlshorst West,11051330
Karlshorst Nord,11051331
Karlshorst Süd,11051332
Breitkopfbecken,12103115
Hausotterplatz,12103116
Letteplatz,12103117
Teichstraße,12103218
Schäfersee,12103219
Humboldtstraße,12103220
Waldidyll/Flughafensee,12214125
Tegel Süd,12214126
Reinickes Hof,12214421
Klixstraße,12214422
Mellerbogen,12214423
Scharnweberstraße,12214424
Alt-Tegel,12214527
Tegeler Forst,12214528
Konradshöhe/Tegelort,12224229
Heiligensee,12224230
Hermsdorf,12231101
Frohnau,12231102
Wittenau Süd,12301203
Wittenau Nord,12301204
Waidmannslust,12301205
Lübars,12301206
Schorfheidestraße,12302107
Märkisches Zentrum,12302108
Treuenbrietzener Straße,12302109
Dannenwalder Weg,12302110
Lübarser Straße,12302211
Rollbergesiedlung,12302212
Borsigwalde,12304313
Ziekowstraße/Freie Scholle,12304314
